Time,Ambient,Heater,Duty Cycle
2019-04-25 18:36:22,20.5,50.5,0.3
2019-04-25 18:36:22,20.5,50.0,19.1
2019-04-25 18:36:22,20.5,50.0
2019-04-25 18:36:23,20.5,50.0,7.6
2019-04-25 18:36:23,20.5,49.75,4.4
2019-04-25 18:36:23,20.5,50.0,0.3
2019-04-25 18:36:24,20.62,50.0,10.8
2019-04-25 18:36:24,20.5,50.0,2.9
2019-04-25 18:36:25,20.5,50.0,4.5
2019-04-25 18:36:25,20.5,50.5,4.5
2019-04-25 18:36:25,20.5,49.75,12.8
2019-04-25 18:36:26,20.5,50.25
2019-04-25 18:36:26,20.5,50.0,18.1
2019-04-25 18:36:26,20.5,50.25
2019-04-25 18:36:27,20.5,50.0,10.2
2019-04-25 18:36:27,20.44,50.25
2019-04-25 18:36:27,20.5,50.5,10.2
2019-04-25 18:36:28,20.5,50.25,6.4
2019-04-25 18:36:28,20.5,50.25
2019-04-25 18:36:29,20.5,50.25,5.3
2019-04-25 18:36:29,20.5,50.0,3.7
2019-04-25 18:36:29,20.5,50.25
2019-04-25 18:36:30,20.5,50.25,10.1
2019-04-25 18:36:30,20.5,50.25,2.1
2019-04-25 18:36:30,20.5,50.5,3.7
2019-04-25 18:36:31,20.75,50.5,7.8
2019-04-25 18:36:31,20.62,50.25,1.5
2019-04-25 18:36:32,20.5,50.25
2019-04-25 18:36:32,20.5,50.25,5.2
2019-04-25 18:36:32,20.5,50.25,3.6
2019-04-25 18:36:33,20.5,50.25,3.6
2019-04-25 18:36:33,20.94,50.25,3.6
2019-04-25 18:36:33,20.5,50.25,3.5
2019-04-25 18:36:34,20.5,50.0,3.5
2019-04-25 18:36:34,20.5,50.25
2019-04-25 18:36:35,20.5,50.25,9.9
2019-04-25 18:36:35,20.5,50.25,1.9
2019-04-25 18:36:35,20.5,50.75,3.5
2019-04-25 18:36:36,21.0,50.0,11.8
2019-04-25 18:36:36,20.5,50.25
2019-04-25 18:36:36,20.5,50.0,13.0
2019-04-25 18:36:37,20.5,50.25
2019-04-25 18:36:37,20.5,50.25,9.8
2019-04-25 18:36:37,20.5,50.0,1.8
2019-04-25 18:36:38,20.5,50.25
2019-04-25 18:36:38,20.5,50.25,9.7
2019-04-25 18:36:39,21.0,50.25,1.8
2019-04-25 18:36:39,20.5,50.25,3.4
2019-04-25 18:36:39,20.5,50.25,3.3
2019-04-25 18:36:40,20.5,50.25,3.3
2019-04-25 18:36:40,20.5,50.5,3.3
2019-04-25 18:36:40,20.5,50.25,7.5
2019-04-25 18:36:41,20.56,50.25
2019-04-25 18:36:41,20.5,49.75,4.8
2019-04-25 18:36:42,20.19,50.25
2019-04-25 18:36:42,20.5,50.25,15.9
2019-04-25 18:36:42,20.5,50.25,0.1
2019-04-25 18:36:43,20.5,50.25,3.2
2019-04-25 18:36:43,20.5,50.0,3.2
2019-04-25 18:36:43,20.5,50.25
2019-04-25 18:36:44,20.5,50.0,9.5
2019-04-25 18:36:44,20.5,50.25
2019-04-25 18:36:45,20.5,49.75,9.5
2019-04-25 18:36:45,20.5,50.25
2019-04-25 18:36:45,20.5,50.0,15.9
2019-04-25 18:36:46,20.5,50.25
2019-04-25 18:36:46,20.5,50.25,9.5
2019-04-25 18:36:46,20.5,50.25,1.6
2019-04-25 18:36:47,20.5,50.0,3.1
2019-04-25 18:36:47,20.5,50.25
2019-04-25 18:36:47,20.5,50.25,9.5
2019-04-25 18:36:48,20.5,50.0,1.5
2019-04-25 18:36:48,20.5,50.25
2019-04-25 18:36:49,20.5,50.25,9.4
2019-04-25 18:36:49,20.5,50.25,1.5
2019-04-25 18:36:49,20.5,49.75,3.1
2019-04-25 18:36:50,20.5,50.25
2019-04-25 18:36:50,20.5,50.25,15.8
2019-04-25 18:36:50,20.56,50.25
2019-04-25 18:36:51,20.5,50.25,3.0
2019-04-25 18:36:51,20.5,50.25,3.0
2019-04-25 18:36:52,20.5,49.75,3.0
2019-04-25 18:36:52,20.5,50.25
2019-04-25 18:36:52,20.5,50.25,15.7
2019-04-25 18:36:53,20.5,50.25
